# Frequency, S11, S12, S21, S22
9.540000000000000000e+07,-5.883109166000000112e-01,-6.668107339700000580e+01,-6.761714611799999375e+01,-5.971481857899999524e-01
9.540400320256204903e+07,-5.901876030199999512e-01,-6.576778203400000677e+01,-6.627255305399999941e+01,-5.926429466000000534e-01
9.540800640512409806e+07,-5.879347872000000308e-01,-6.534201281100000358e+01,-6.497106719100000305e+01,-5.950418819999999664e-01
9.541200960768614709e+07,-5.873532251799999937e-01,-6.490159508300000368e+01,-6.600256193200000610e+01,-5.941429232299999530e-01
9.541601281024819613e+07,-5.886776017100000535e-01,-6.460875022099999399e+01,-6.565673739499999328e+01,-5.941365889799999911e-01
9.542001601281024516e+07,-5.899224212300000492e-01,-6.545393770900000163e+01,-6.496881098100000429e+01,-5.948643213300000010e-01
9.542401921537229419e+07,-5.876387902099999838e-01,-6.500509215700000709e+01,-6.697971913799999299e+01,-5.944054120599999713e-01
9.542802241793434322e+07,-5.893633711600000380e-01,-6.556331442600000514e+01,-6.616144712700000241e+01,-5.939437753699999822e-01
9.543202562049639225e+07,-5.865739390499999928e-01,-6.545523858299999631e+01,-6.631075852099999679e+01,-5.947190474900000412e-01
9.543602882305844128e+07,-5.897406435800000013e-01,-6.646003190599999755e+01,-6.611653997099999458e+01,-5.935468344600000057e-01
9.544003202562049031e+07,-5.878219527300000413e-01,-6.538802840500000002e+01,-6.500910550400000432e+01,-5.948274429300000055e-01
9.544403522818253934e+07,-5.904350962800000158e-01,-6.538044205399999953e+01,-6.356447250899999801e+01,-5.956968136700000471e-01
9.544803843074458838e+07,-5.880037420200000531e-01,-6.446828609300000323e+01,-6.592332168000000081e+01,-5.947293757599999564e-01
9.545204163330665231e+07,-5.890995647800000290e-01,-6.513561315399999785e+01,-6.578925388999999768e+01,-5.950244802999999916e-01
9.545604483586870134e+07,-5.907774331199999729e-01,-6.452119219700000485e+01,-6.613861022599999728e+01,-5.941650679500000143e-01
9.546004803843075037e+07,-5.878131285400000072e-01,-6.602112722699999381e+01,-6.506254161100000033e+01,-5.954333416299999460e-01
9.546405124099279940e+07,-5.896201627399999534e-01,-6.603170228400000497e+01,-6.441987463099999900e+01,-5.939506846600000056e-01
9.546805444355484843e+07,-5.884540686100000473e-01,-6.567617744899999366e+01,-6.471957757100000208e+01,-5.945773536399999726e-01
9.547205764611689746e+07,-5.898915830299999996e-01,-6.439134400499999344e+01,-6.627610571200000322e+01,-5.952381917600000349e-01
9.547606084867894650e+07,-5.917758755399999959e-01,-6.483571942800000443e+01,-6.402371982500000058e+01,-5.958528756400000015e-01
9.548006405124099553e+07,-5.919492610600000093e-01,-6.450466416400000469e+01,-6.414610505999999646e+01,-5.968225797199999683e-01
9.548406725380304456e+07,-5.906701528800000212e-01,-6.465749756699999296e+01,-6.501929335799999876e+01,-5.955290861499999977e-01
9.548807045636509359e+07,-5.910784902000000285e-01,-6.464481000199999983e+01,-6.601596190899999783e+01,-5.953553669500000201e-01
9.549207365892714262e+07,-5.910757918200000294e-01,-6.623229640200000290e+01,-6.491092899699999919e+01,-5.946997148199999472e-01
9.549607686148919165e+07,-5.905405947499999808e-01,-6.510730086600000277e+01,-6.523883827699999927e+01,-5.964618265200000158e-01
9.550008006405124068e+07,-5.908681133900000049e-01,-6.470867158199999380e+01,-6.555053176799999903e+01,-5.974740095699999642e-01
9.550408326661328971e+07,-5.912222682600000168e-01,-6.602251335699999402e+01,-6.586830102800000475e+01,-5.964451014499999593e-01
9.550808646917533875e+07,-5.898460641599999610e-01,-6.538671504299999526e+01,-6.566201530200000036e+01,-5.969081404799999602e-01
9.551208967173738778e+07,-5.918862920999999888e-01,-6.446316109200000710e+01,-6.528552854400000172e+01,-5.967088846100000454e-01
9.551609287429943681e+07,-5.929016527299999506e-01,-6.415674549599999921e+01,-6.548530661899999927e+01,-6.004853120599999983e-01
9.552009607686148584e+07,-5.923247454900000264e-01,-6.491305361199999879e+01,-6.487737062700000479e+01,-5.954402296499999858e-01
9.552409927942353487e+07,-5.913640270500000184e-01,-6.465598189099999615e+01,-6.526477581499999303e+01,-5.983319709100000106e-01
9.552810248198558390e+07,-5.918612976799999537e-01,-6.347597614899999741e+01,-6.409735240199999851e+01,-5.978818126699999569e-01
9.553210568454763293e+07,-5.919184920900000257e-01,-6.401314815499999611e+01,-6.396870305600000250e+01,-5.962891593700000437e-01
9.553610888710968196e+07,-5.918836810800000015e-01,-6.438910534699999744e+01,-6.474434696299999814e+01,-5.968177582300000505e-01
9.554011208967173100e+07,-5.933880713900000492e-01,-6.351090186700000118e+01,-6.343452378199999941e+01,-5.990185362300000094e-01
9.554411529223378003e+07,-5.935473606000000180e-01,-6.303162280299999765e+01,-6.337314963899999753e+01,-5.994036517999999925e-01
