# Frequency, S11, S12, S21, S22
9.540000000000000000e+07,-5.958252221299999984e-01,-6.567627767199999766e+01,-6.576730325299999436e+01,-5.977869657100000067e-01
9.540400320256204903e+07,-5.937353984600000079e-01,-6.544223857800000133e+01,-6.436882908799999825e+01,-5.942153259000000354e-01
9.540800640512409806e+07,-5.966200796399999673e-01,-6.502476987699999711e+01,-6.505469833700000493e+01,-5.932624060800000265e-01
9.541200960768614709e+07,-5.957556324099999578e-01,-6.456173209300000337e+01,-6.550803007499999353e+01,-5.933935946799999694e-01
9.541601281024819613e+07,-5.947597283500000165e-01,-6.484166087500000231e+01,-6.618252443800000151e+01,-5.932970125300000008e-01
9.542001601281024516e+07,-5.964662017799999827e-01,-6.519306800500000065e+01,-6.531279922199999532e+01,-5.924189189699999858e-01
9.542401921537229419e+07,-5.953252487000000315e-01,-6.556878774899999485e+01,-6.536270396499999435e+01,-5.940987384999999454e-01
9.542802241793434322e+07,-5.966301815600000280e-01,-6.612505732600000385e+01,-6.532514731800000618e+01,-5.944253286599999742e-01
9.543202562049639225e+07,-5.965911124699999624e-01,-6.578065365800000563e+01,-6.632753775800000540e+01,-5.946440306700000455e-01
9.543602882305844128e+07,-5.946552995699999622e-01,-6.508909859099999551e+01,-6.533628928699999960e+01,-5.939726604699999690e-01
9.544003202562049031e+07,-5.962369794999999861e-01,-6.560181135000000552e+01,-6.480409793799999818e+01,-5.960837307699999865e-01
9.544403522818253934e+07,-5.958044472400000346e-01,-6.519132666900000572e+01,-6.496669460600000434e+01,-5.953055022300000054e-01
9.544803843074458838e+07,-5.960574401199999484e-01,-6.537755748799999367e+01,-6.469493844199999444e+01,-5.940570979599999468e-01
9.545204163330665231e+07,-5.948837044700000520e-01,-6.533113496500000394e+01,-6.545886549300000468e+01,-5.947272041700000234e-01
9.545604483586870134e+07,-5.936490992699999802e-01,-6.521033008999999936e+01,-6.531360896299999297e+01,-5.955938776800000500e-01
9.546004803843075037e+07,-5.965513873200000150e-01,-6.525533262300000104e+01,-6.590982638299999508e+01,-5.941200448300000270e-01
9.546405124099279940e+07,-5.990327599600000497e-01,-6.620399695999999778e+01,-6.538039172400000609e+01,-5.936709614099999754e-01
9.546805444355484843e+07,-5.972606493900000091e-01,-6.509759406999999953e+01,-6.456712278999999910e+01,-5.955151864500000114e-01
9.547205764611689746e+07,-5.958831651899999526e-01,-6.486206254900000090e+01,-6.504039063400000487e+01,-5.949508746999999653e-01
9.547606084867894650e+07,-5.950223275799999545e-01,-6.563084060200000636e+01,-6.524328049800000429e+01,-5.952433518799999934e-01
9.548006405124099553e+07,-5.967210197000000216e-01,-6.524333293300000491e+01,-6.541089773699999910e+01,-5.945946543100000259e-01
9.548406725380304456e+07,-5.967387775500000435e-01,-6.573203948799999807e+01,-6.345699276100000219e+01,-5.956100497399999805e-01
9.548807045636509359e+07,-5.975949667800000142e-01,-6.585716155699999774e+01,-6.500646627300000091e+01,-5.957551177800000097e-01
9.549207365892714262e+07,-5.954035889200000042e-01,-6.538000771000000100e+01,-6.615000163199999861e+01,-5.980569395400000543e-01
9.549607686148919165e+07,-5.973522255900000077e-01,-6.417356563200000608e+01,-6.648950704799999301e+01,-5.981076214399999591e-01
9.550008006405124068e+07,-5.980209670999999672e-01,-6.547584173200000635e+01,-6.481107720500000369e+01,-5.956970349000000331e-01
9.550408326661328971e+07,-5.983814084099999819e-01,-6.486745641599999601e+01,-6.577075613200000248e+01,-5.957836558300000362e-01
9.550808646917533875e+07,-5.982744444800000005e-01,-6.508945298300000104e+01,-6.518774643099999366e+01,-5.970666132899999923e-01
9.551208967173738778e+07,-5.953566811399999548e-01,-6.490778696700000694e+01,-6.585692575699999907e+01,-5.972870044800000500e-01
9.551609287429943681e+07,-5.974950203000000126e-01,-6.556663974600000699e+01,-6.580988903899999798e+01,-5.966910798600000287e-01
9.552009607686148584e+07,-5.984441059799999740e-01,-6.494422246700000301e+01,-6.556310581099999979e+01,-5.972592737999999901e-01
9.552409927942353487e+07,-5.973480251999999657e-01,-6.408751217799999722e+01,-6.551114782300000172e+01,-5.956989023800000060e-01
9.552810248198558390e+07,-5.990138971499999743e-01,-6.491425811999999951e+01,-6.504675424900000280e+01,-5.980659477799999957e-01
9.553210568454763293e+07,-5.997676116100000288e-01,-6.548615470699999719e+01,-6.606929352500000618e+01,-5.979677730900000432e-01
9.553610888710968196e+07,-5.999650136899999930e-01,-6.550764162000000113e+01,-6.516027855500000499e+01,-5.978792154500000011e-01
9.554011208967173100e+07,-6.006410769100000158e-01,-6.479756834900000229e+01,-6.479490286099999707e+01,-5.994020954100000020e-01
9.554411529223378003e+07,-5.981093723699999476e-01,-6.481617659799999842e+01,-6.557347441800000354e+01,-6.002978703700000418e-01
9.554811849479584396e+07,-5.999262662400000057e-01,-6.565301144299999692e+01,-6.552586771800000065e+01,-5.988650897399999673e-01
9.555212169735789299e+07,-6.007974358200000031e-01,-6.559852809100000570e+01,-6.538249934799999608e+01,-5.979733557999999949e-01
9.555612489991994202e+07,-5.999530605599999733e-01,-6.522416562700000497e+01,-6.387062266699999924e+01,-6.004356729399999981e-01
9.556012810248199105e+07,-6.019245151500000057e-01,-6.509234413100000438e+01,-6.578828035399999408e+01,-5.994513860100000313e-01
